state/ut,age-group-males,ratio-males,age-group-females,ratio-females
India,5-9,0.8768207300383077,5-9,0.8652950979800309
JAMMU & KASHMIR,Age not stated,0.9986455283682578,Age not stated,0.9984817572313752
HIMACHAL PRADESH,Age not stated,0.9996628570922858,Age not stated,0.9996220926524891
PUNJAB,Age not stated,0.9965438637672939,Age not stated,0.9961259773038295
CHANDIGARH,Age not stated,0.9999709214242096,Age not stated,0.9999674054912772
UTTARAKHAND,Age not stated,0.9992696641761639,Age not stated,0.9991813582084547
HARYANA,Age not stated,0.9984959212029596,Age not stated,0.9983140608459172
NCT OF DELHI,Age not stated,0.9986518497977774,Age not stated,0.998488842994141
RAJASTHAN,5-9,0.9961397707219735,5-9,0.9957785769729526
UTTAR PRADESH,5-9,0.9908094612788996,5-9,0.9899495213900718
BIHAR,Age not stated,0.9871004909222165,Age not stated,0.9855407925000508
SIKKIM,5-9,0.9998381006854462,5-9,0.9998229520981018
ARUNACHAL PRADESH,Age not stated,0.999781699967255,Age not stated,0.9997553049924868
NAGALAND,Age not stated,0.9998352214038546,Age not stated,0.9998152977839041
MANIPUR,5-9,0.999579912454914,5-9,0.9995406057235262
MIZORAM,Age not stated,0.9999515357070161,Age not stated,0.9999456758187953
TRIPURA,Age not stated,0.9999022285567628,Age not stated,0.9998904068692218
MEGHALAYA,5-9,0.9997325358165657,5-9,0.9997075097406035
ASSAM,Age not stated,0.9983281926063717,Age not stated,0.9981260519405306
WEST BENGAL,5-9,0.995457332079687,5-9,0.9950322839443251
JHARKHAND,5-9,0.9934889597910217,5-9,0.9928797350912109
ODISHA,5-9,0.9949316042514693,5-9,0.9944573648397448
CHHATTISGARH,Age not stated,0.9992869427501843,Age not stated,0.9992007259600145
MADHYA PRADESH,Age not stated,0.9973247710272871,Age not stated,0.9970013051975015
GUJARAT,5-9,0.9937479624954673,5-9,0.993162972148356
DAMAN & DIU,Age not stated,0.999965864280594,5-9,0.9999625088614669
DADRA & NAGAR HAVELI,Age not stated,0.9999591214224396,Age not stated,0.9999541787341143
MAHARASHTRA,5-9,0.9819121934980065,5-9,0.9802197544817003
ANDHRA PRADESH,5-9,0.9923127387973412,5-9,0.9915934575076788
KARNATAKA,Age not stated,0.9963575923107817,Age not stated,0.9959171834943298
GOA,Age not stated,0.9997058428130193,Age not stated,0.9996702758392968
LAKSHADWEEP,5-9,0.999998717957729,5-9,0.999998597999659
KERALA,5-9,0.9990542298752471,5-9,0.9989657361013109
TAMIL NADU,Age not stated,0.9968076780925803,Age not stated,0.9964216898032567
PUDUCHERRY,Age not stated,0.9999346785616303,Age not stated,0.9999267804514198
ANDAMAN & NICOBAR ISLANDS,Age not stated,0.999946899992035,Age not stated,0.999940479592767
