state/ut,age-group,percantage
India,Literate,6.782787663266135
JAMMU & KASHMIR,Literate,15.655766841433211
HIMACHAL PRADESH,Literate,4.988970955635883
PUNJAB,Literate,27.719984523852176
CHANDIGARH,Literate,30.20626273153631
UTTARAKHAND,Literate,1.8148393879534719
HARYANA,Literate,4.5380538605623615
NCT OF DELHI,Literate,8.009588549304528
RAJASTHAN,Literate,1.4217596237825232
UTTAR PRADESH,Literate,1.2489929238154514
BIHAR,Literate,1.4432986640506043
SIKKIM,Literate,28.655190090684712
ARUNACHAL PRADESH,Literate,26.541362566460002
NAGALAND,Literate,25.813570064624653
MANIPUR,Literate,20.431200569789
MIZORAM,Literate,4.667947495730063
TRIPURA,Literate,5.220939939579473
MEGHALAYA,Literate,8.56486373436957
ASSAM,Literate,12.708844086069746
WEST BENGAL,Literate,3.0215779889404804
JHARKHAND,Literate,4.206612595911002
ODISHA,Literate,12.583012267196972
CHHATTISGARH,Literate,1.4217975527142126
MADHYA PRADESH,Literate,1.662872177132276
GUJARAT,Literate,13.85769801738897
DAMAN & DIU,Literate,13.961939921150107
DADRA & NAGAR HAVELI,Literate,18.64135067746262
MAHARASHTRA,Literate,16.775422373363497
ANDHRA PRADESH,Literate,7.152266997972838
KARNATAKA,Literate,11.967759155013193
GOA,Literate,49.01967371592923
LAKSHADWEEP,Literate,15.345958773440044
KERALA,Literate,9.476573727144903
TAMIL NADU,Literate,3.253356375168874
PUDUCHERRY,Literate,5.686512232431831
ANDAMAN & NICOBAR ISLANDS,Literate,18.727682149135138
