state-code, male-percentage,female-percentage, p-value
00,71.65011794931502,76.46426421106435,0.3079869146413412
01,45.26420709260613,56.81195599121451,0.5139674642002977
02,80.3563771567774,83.48259644801578,0.271846391708621
03,50.24283332758404,56.11189913089054,0.5580203155393895
04,44.391497305666114,45.86583036182541,0.8353531765925009
05,80.87182909793796,84.33886987197585,0.26410889096700757
06,75.85987986128515,80.01374409533558,0.29248681751206534
07,57.8021538330756,61.22413425095329,0.6126234357671316
08,87.6517668407443,90.65604483256882,0.2523785677014012
09,87.26086903672274,89.96798876127744,0.23198909918299
10,82.60166608088775,85.31091975830817,0.28490515752195145
11,33.964775435664095,38.90270497761794,0.887091647521385
12,32.98711886058786,39.15752857132193,0.6717645283318241
13,35.40236705447427,40.470491784373486,0.596513567163046
14,47.15039629191442,55.66402391180405,0.4756514773063196
15,68.63825519187378,74.9866664698164,0.34004108545234835
16,61.93405165238991,69.15313404918254,0.36054056409899926
17,70.4336681342135,74.15421912509143,0.33317841323140696
18,49.93925446453807,57.54532598399346,0.42593500991975364
19,81.23793942565821,85.9592559782642,0.25873341654236975
20,67.66620113092993,71.81120300334685,0.3480005441976308
21,62.9193495647963,71.2965876928913,0.3404430959649124
22,85.81285828334137,87.70008864640812,0.27731574274939913
23,85.44439418311656,87.62232038535575,0.2754390560257623
24,52.17802653815694,62.57966925462492,0.42460973830388316
25,52.588472465253055,51.18778645665225,0.528023720928311
26,41.57153179190751,42.79921840092298,0.4443108130463198
27,44.997805403617555,53.10492675057342,0.5179782165121061
28,71.26914364792016,77.71797095164293,0.3019407510316223
29,57.91316770163469,62.76065232283966,0.39123452928920655
30,20.531428416808723,25.10922220446063,0.9768945827874435
31,65.7700087552456,76.98564593301435,0.30471993419439314
32,73.21389130072903,77.72975908541568,0.30008737967849475
33,69.5585571687401,73.85282951746443,0.3268195862533392
34,65.13009562277249,71.87626880187335,0.33901342275389434
35,29.818456063212583,35.261380901468684,0.7363187059316488
