state-code, urban-percentage,rural-percentage, p-value
00,40.39904814592975,19.507251447465862,0.2925857693317367
01,58.718610572747274,45.753299824551,0.45029414536385326
02,37.93279229455437,15.89232600124675,0.28046983137625403
03,57.23589225499863,40.83891598985989,0.5122990444818828
04,55.355060455410296,40.43668724776655,0.4083200365024846
05,30.253287762786545,11.869212161966669,0.2552548203036259
06,32.45629461678969,16.70290166928952,0.269625154386727
07,41.04430603426657,23.556827239274345,0.37360586590628253
08,18.923884999400226,8.246596062100702,0.23536044265217723
09,26.86974957199184,7.029415619812755,0.21716581587624478
10,24.08168180754304,15.08559710940601,0.2951064128543871
11,74.73010457226947,60.006695857102535,0.633433585085142
12,71.61411480012225,61.7676240061968,0.6266025383616275
13,74.29146394005947,57.2307919655341,0.5584931313272674
14,51.63818671372432,47.38123503690073,0.4269016382986299
15,32.616904320086185,23.448951820872228,0.31040347580621874
16,28.067934678034185,36.82043337718031,0.48349144910013275
17,58.54765303551935,19.97512902503501,0.2946460738304717
18,60.90047565761564,43.95062131827042,0.4168675565083009
19,27.69484221669527,11.206558603780419,0.3212184237343253
20,37.972341319447814,27.89196024294162,0.3504088231458353
21,54.16643821455537,28.685249610801222,0.34299916600863845
22,21.717374596971624,10.683471881650519,0.2819380809169151
23,22.31918185915327,10.140065137159363,0.25005027185373635
24,56.10392089238944,32.99746078706349,0.3668816402556122
25,48.0336448802577,47.683621431882905,0.42143816045879123
26,55.20159407204458,60.253175617374964,0.8646044048833006
27,65.01834901506562,39.60400073597936,0.4049709903157295
28,37.99168470263466,19.27271820144821,0.3019219158496437
29,57.183457757191015,28.669983067487053,0.3539057559107097
30,78.66111462769652,74.82668184314457,0.9610829947914404
31,29.8935071127712,24.800226292341417,0.4029473459549682
32,27.29799937571094,21.827265372284053,0.300994620920483
33,35.299990491857365,21.731147186955322,0.3408102052446482
34,36.506585142473845,20.491143724696357,0.3652694610349323
35,73.05488960749331,64.36292931465711,0.6063676739427408
